"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","161","Admin Devices Reactivate - Valid","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Admin Devices Reactivate","Login, Credentials, Security & Devices","",""
"","210","Block - Invalid Token Or PIN","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Block","Customer Cards","",""
"","168","Retrieve - Nonexistent ID","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Retrieve","Wallets, Transfers, Transactions & Fund Requests","",""
"","233","Encrypt Login - Empty Fields","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Encrypt Login","Login, Credentials, Security & Devices","",""
"","178","Get Electricity Billers - Valid","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Get Electricity Billers","Airtime, Data, Bills & VAS Beneficiaries","",""
"","170","List Documents - Invalid ID","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","List Documents","KYC, Tier Upgrades & Young Moni","",""
"","167","Create Login Pin - Valid","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Create Login Pin","Login, Credentials, Security & Devices","",""
"","196","Providers - Valid","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Providers","Insurance","",""
"","166","Admin Coins Rules - Empty Fields","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Admin Coins Rules","Rewards, Cash Tokens & Wishlists","",""
"","160","Requests - No Auth","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Requests","Customer Cards","",""
"","208","Create Wishlist With Items - Valid","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Create Wishlist With Items","Rewards, Cash Tokens & Wishlists","",""
"","170","Find Account Banks - Empty Fields","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Find Account Banks","Customer Profile, Accounts & Beneficiaries","",""
"","173","Validate Liveness (When Required) - Empty Fields","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Validate Liveness (When Required)","Customer Onboarding","",""
"","158","Get Electricity Billers - No Auth","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Get Electricity Billers","Airtime, Data, Bills & VAS Beneficiaries","",""
"","160","Transaction - No Auth","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Transaction","Airtime, Data, Bills & VAS Beneficiaries","",""
"","224","Daily Spending Summary - Valid","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Daily Spending Summary","Wallets, Transfers, Transactions & Fund Requests","",""
"","173","Validate Liveness (When Required) - Missing Required Field","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Validate Liveness (When Required)","Customer Onboarding","",""
"","168","Enable - Empty Fields","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Enable","Wallets, Transfers, Transactions & Fund Requests","",""
"","202","Unblock - Missing Required Field","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Unblock","Customer Cards","",""
"","170","Coin Wallet Transactions - Invalid Query","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Coin Wallet Transactions","Rewards, Cash Tokens & Wishlists","",""
"","171","Verify Device Changed - Missing Required Field","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Verify Device Changed","Login, Credentials, Security & Devices","",""
"","171","Update Tin - Missing Required Field","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Update Tin","Customer Profile, Accounts & Beneficiaries","",""
"","168","Games Eligibility Requirements - Invalid Query","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Games Eligibility Requirements","Rewards, Cash Tokens & Wishlists","",""
"","203","Types - Valid","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Types","Supalock Savings","",""
"","160","Request Phone Verification - Missing Required Field","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Request Phone Verification","Login, Credentials, Security & Devices","",""
"","170","Winner Dismiss Action - Missing Required Field","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Winner Dismiss Action","Rewards, Cash Tokens & Wishlists","",""
"","310","Admin Coins Rules - Invalid Query","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Admin Coins Rules","Rewards, Cash Tokens & Wishlists","",""
"","161","Purchase Data - Missing Required Field","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Purchase Data","Airtime, Data, Bills & VAS Beneficiaries","",""
"","168","Young Moni Documents - Invalid Query","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Young Moni Documents","KYC, Tier Upgrades & Young Moni","",""
"","184","Get Transaction Overview - Valid","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Get Transaction Overview","Wallets, Transfers, Transactions & Fund Requests","",""
"","176","Admin Coins Rules - Valid","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Admin Coins Rules","Rewards, Cash Tokens & Wishlists","",""
"","310","Admin Games - Nonexistent ID","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Admin Games","Rewards, Cash Tokens & Wishlists","",""
"","162","Redeem Coins - No Auth","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Redeem Coins","Rewards, Cash Tokens & Wishlists","",""
"","169","Approve Single Fund Request - Empty Fields","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Approve Single Fund Request","Wallets, Transfers, Transactions & Fund Requests","",""
"","163","Retrieve - No Auth","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Retrieve","Wallets, Transfers, Transactions & Fund Requests","",""
"","161","Transactions Break Wallet - Invalid Token Or PIN","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Transactions Break Wallet","Save & Spend","",""
"","170","Activate - Empty Fields","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Activate","Customer Cards","",""
"","197","Perform Action - Nonexistent ID","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Perform Action","Rewards, Cash Tokens & Wishlists","",""
"","165","Her Wealth Details - No Auth","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Her Wealth Details","Customer Profile, Accounts & Beneficiaries","",""
"","161","Young Moni Validate Details Without Identity - Empty Fields","Personal Banking APIs - QA Test Suite","2026-09-24","failed","2026-09-24","Young Moni Validate Details Without Identity","Customer Profile, Accounts & Beneficiaries","",""
"","170","Eligibility - No Auth","Personal Banking APIs - QA Test Suite","2026-09-24","passed","2026-09-24","Eligibility","Kolo Connect Advances","",""
